Analysis,Primary specification,Pre-specified variation,Threat addressed,Output file
GRD case definition,Full F84 family (con_rett),F84 excluding F84.2 (sin_rett) and strict F84.0,Taxonomy: Rett syndrome is no longer within the spectrum in DSM-5.,outputs/tidy/grd_year_summary.csv; grd_subcode_year.csv
Code position,F84 in any position (DIAGNOSTICO1–35),F84 principal and F84 secondary-only,An episode with secondary F84 is not a hospitalisation for autism.,outputs/tidy/grd_year_summary.csv
Hospital panel,"Observed annual panel (65, 65, 65, 65, 68 and 72 hospitals)",Fixed panel of 65 hospitals present in every year 2019–2024,Panel expansion: new hospitals contribute episodes without any change in practice.,outputs/tidy/grd_year_summary.csv; grd_fixed_panel_hospitals.csv
Activity type,All GRD episodes,Strict hospitalisation and major ambulatory surgery separately,Mixing activity types with different denominators and duration.,outputs/tidy/grd_activity_categories_year.csv
Coding depth,Unadjusted model,Adjustment for the panel's mean depth and stratification by depth,Coding intensity: more diagnoses per episode increase the capture of secondary F84.,outputs/tidy/grd_coding_depth_year.csv; models_summary.csv
2020–2021 disruption,Trend without an indicator,Reporting-disruption indicator and 2021–2024 window,"Pandemic: a fall and recovery of recording, not of the phenomenon.",outputs/tidy/models_summary.csv
Hospital denominator,GRD episodes of the same year and panel,INE population by age and sex (complementary population reading),Place-of-care numerator against a residence denominator.,outputs/tidy/models_population_rates.csv
Model unit,National annual series,"Hospital-year with fixed effects, hospital-clustered SE and a random intercept",Heterogeneity and clustering by establishment.,outputs/tidy/hospital_effects.csv
Hospital source,Public GRD,DEIS discharges with principal F84 (the only published position),Different coverage and coding rules between hospital recording systems.,outputs/tidy/deis_vs_grd_year.csv
REM entry definition,"Strict autism A05 05990022, 2021–2025",The variant's PDD family and broad PDD 2019–2020 in a separate panel,Definition break: eras are not comparable and are never joined by a line.,outputs/tidy/rem_pathway_annual.csv
REM offset,INE population,Reporting establishments and the stable establishment panel,Reporting expansion: more establishments reporting raise the count without any change in practice.,outputs/tidy/rem_establishment_year.csv; models_summary.csv
Half-year of the stocks,"December stock (P2, P6)",June stock as a sensitivity; half-years are never summed,Confusing a half-yearly stock with an annual flow.,outputs/tidy/rem_pathway_annual.csv
Education definition,Harmonised PIE (ASD + ASD-Asperger),Strict ASD and ASD-Asperger separately; Apuntes 2019–2023 against SINACES 2024–2025,Change of categories and of official report (including the five-case 2022 discrepancy).,outputs/tidy/pie_series.csv
Survey domain,"Reported autism, national domain",Professional confirmation; sex and age domains flagged for imprecision,Insufficient effective size: fewer than 30 cases or RSE > 30%.,outputs/tidy/survey_estimates.csv
Population base,"INE projections, 2017-census base","Censo 2024 and the 2024 base as a bridge, always explicitly flagged",Change of census base: series are never combined without a flag.,outputs/tidy/ine_population_base_comparison.csv; ine_population_sensitivity.csv
Territorial analysis,"Indirectly standardised ratio by comuna, empirical-Bayes smoothed, with queen contiguity","Crude against smoothed ratio; k = 4, k = 8 and inverse-distance weights; regional scale; exclusion of the Metropolitan Region, of comunas with fewer than 5 events and of the non-continental ones; 2024 Census denominator","Small counts, the modifiable areal unit problem and re-identification risk.",outputs/tidy/grd_territory.csv; spatial_comuna_standardised.csv; spatial_moran.csv; spatial_denominator_sensitivity.csv
