Script,What it does,Main outputs
pipeline/00_provenance.py,"Freezes provenance: SHA-256, size, date, unit, period, coverage, geography, columns and use restrictions of every source artefact.",outputs/tidy/data_provenance.csv; provenance_manifest_checks.csv; provenance_summary_by_source.csv
pipeline/01_grd_core.py,"GRD hospital core 2019–2024: episodes with F84 by position, observed and fixed panel, activity, age, sex, hospital and coding depth.",outputs/tidy/grd_year_summary.csv; grd_hospital_year.csv; grd_age_sex_year.csv; grd_coding_depth_year.csv; grd_fixed_panel_hospitals.csv
pipeline/01b_deis_egresos.py,DEIS discharges 2019–2024 with F84 as principal diagnosis (DEIS publishes no secondary diagnoses); comparison with GRD principal.,outputs/tidy/deis_year_summary.csv; deis_vs_grd_year.csv; deis_age_sex_year.csv
pipeline/02_rem_pathway.py,"REM administrative pathway: establishment × month/half-year × code × year table keeping zero, empty and absence of reporting as distinct states.",outputs/tidy/rem_pathway_tidy.csv; rem_pathway_annual.csv; rem_establishment_year.csv; rem_code_dictionary_check.csv
pipeline/03_denominators.py,"Four denominator layers (INE, FONASA/ISAPRE, APS enrolment, REM-20) harmonised across schema changes, with an auditable comuna crosswalk.",outputs/tidy/coverage_layers_year.csv; ine_population_comuna_year_age_sex.csv; comuna_crosswalk.csv; rem20_panel.csv; aps_panel.csv
pipeline/04_surveys.py,"ENDIDE 2022 and ENCAVI 2023–2024 with complex design: proportion, weighted total, Taylor-linearised SE, logit CI, DEFF and RSE.",outputs/tidy/survey_estimates.csv; survey_design_check.csv; survey_items_dictionary.csv
pipeline/05_education.py,"Education triangulation: strict ASD, ASD-Asperger and harmonised PIE (Apuntes and SINACES) and JUNAEB EVE with the EXP weight.",outputs/tidy/pie_series.csv; junaeb_tea_year_level.csv; education_summary_year.csv
pipeline/06_models.py,"Models: quasi-Poisson trends with offsets, standardised rates, hospital fixed effects, random intercept, Durbin–Watson and convergence indices.","outputs/tidy/models_summary.csv; models_fitted.csv; models_population_rates.csv; models_a05_standardised_rates.csv; hospital_effects.csv; models_convergence_index.csv; outputs/<variant>/<language>/figures/figS4_models_cpa.png, figS7_rem_education_models.png"
pipeline/07_controls.py,Consolidates the reproduction controls of every module and compares expected against observed.,outputs/controls/controls_summary.csv; controls_summary.md
pipeline/08a_figures_grd.py,Plates of the GRD hospital core.,"outputs/<variant>/<language>/figures/fig2_grd_core.png, fig1_sources_coverage.png, figS1_grd_variants.png, figS2_grd_subcodes.png, figS3_grd_hospital_effects.png"
